num_candidates,num_features
1,17722
2,3204
3,1362
4,1062
5,339
6,238
7,117
8,161
9,189
10,57
11,40
12,55
13,22
14,27
15,28
16,22
17,8
18,18
19,13
20,11
21,13
22,11
23,6
24,4
25,22
26,5
27,6
28,34
29,10
30,1
31,14
32,7
33,5
34,2
35,1
36,4
38,4
41,1
43,1
44,2
45,4
46,2
47,4
48,25
49,2
50,2
52,3
55,4
56,4
59,1
60,1
61,2
62,1
63,2
66,1
69,2
70,1
71,3
72,2
73,1
74,1
75,2
78,2
79,3
81,1
82,3
84,1
85,2
86,2
87,1
88,1
89,2
90,1
91,1
93,1
96,2
99,1
102,1
104,1
107,1
108,1
110,2
111,2
112,1
113,2
114,1
116,1
118,1
119,1
120,2
121,2
124,2
126,1
130,1
132,1
135,1
141,2
144,2
147,1
151,1
153,1
154,2
156,1
162,1
168,1
172,1
173,1
176,1
178,1
191,1
192,2
197,1
202,1
207,1
212,1
215,1
222,1
224,1
240,1
249,2
254,1
258,1
260,1
264,1
271,1
303,1
324,1
340,1
423,1
490,1
531,1
622,1
1321,1
1418,1
1485,1
1500,1
1627,1
1704,1
1711,1
1764,1
1998,1
2003,1
2053,1
2134,1
2283,1
2478,1
2672,1
2798,1
2948,1
3200,1
3303,1
