num_candidates,feature
216,W_LEFT_NER_1_[O]
208,W_RIGHT_NER_1_[O]
201,W_LEFT_NER_2_[O O]
198,W_NER_L_1_R_1_[O]_[O]
185,W_NER_L_2_R_1_[O O]_[O]
182,W_LEFT_NER_3_[O O O]
166,W_NER_L_3_R_1_[O O O]_[O]
158,W_RIGHT_NER_2_[O O]
151,W_NER_L_1_R_2_[O]_[O O]
141,W_NER_L_2_R_2_[O O]_[O O]
130,W_NER_L_3_R_2_[O O O]_[O O]
129,W_RIGHT_NER_3_[O O O]
127,NER_SEQ_[O]
123,W_NER_L_1_R_3_[O]_[O O O]
115,W_NER_L_2_R_3_[O O]_[O O O]
105,W_NER_L_3_R_3_[O O O]_[O O O]
90,POS_SEQ_[NN]
78,LENGTH_1
58,LENGTH_2
55,NER_SEQ_[O O]
51,KEYWORD_[gene]
51,STARTS_WITH_CAPITAL
39,NEAREST_VERB_[be]
35,LENGTH_0
32,KEYWORD_[disease]
32,POS_SEQ_[NN NN]
30,LENGTH_3
28,KEYWORD_[cell]
26,W_RIGHT_1_[.]
21,"W_RIGHT_1_[,]"
21,NER_SEQ_[O O O]
21,LENGTH_4
21,LEMMA_SEQ_[fall]
20,W_RIGHT_NER_2_[O NUMBER]
19,W_NER_L_1_R_2_[O]_[O NUMBER]
19,W_RIGHT_NER_3_[O NUMBER O]
18,W_NER_L_1_R_3_[O]_[O NUMBER O]
17,W_NER_L_2_R_2_[O O]_[O NUMBER]
17,LEMMA_SEQ_[breast cancer]
17,W_LEFT_1_[of]
16,W_LEFT_1_[and]
16,W_NER_L_2_R_3_[O O]_[O NUMBER O]
16,W_RIGHT_NER_3_[O O NUMBER]
15,W_NER_L_1_R_3_[O]_[O O NUMBER]
15,"W_LEFT_1_[,]"
15,WORD_SEQ_[fall]
14,W_NER_L_2_R_3_[O O]_[O O NUMBER]
14,POS_SEQ_[JJ NN]
14,LEMMA_SEQ_[leukemia]
14,WORD_SEQ_[breast cancer]
14,W_LEFT_1_[the]
13,POS_SEQ_[NNP]
13,W_NER_L_3_R_3_[O O O]_[O O NUMBER]
12,W_RIGHT_NER_1_[NUMBER]
12,KEYWORD_[virus]
11,W_NER_L_3_R_2_[O O O]_[O NUMBER]
11,W_RIGHT_1_[and]
11,LEMMA_SEQ_[chronic]
11,KEYWORD_[protein]
11,KEYWORD_[patient]
11,WORD_SEQ_[chronic]
11,POS_SEQ_[JJ]
10,W_LEFT_1_[in]
10,W_NER_L_3_R_1_[O O O]_[NUMBER]
10,W_NER_L_3_R_3_[O O O]_[O NUMBER O]
10,W_NER_L_2_R_1_[O O]_[NUMBER]
10,W_LEFT_NER_1_[NUMBER]
10,NER_SEQ_[MISC O]
10,LEMMA_SEQ_[b-cell lymphoma]
10,W_NER_L_1_R_1_[O]_[NUMBER]
10,W_RIGHT_1_[(]
9,KEYWORD_[cancer]
9,NEAREST_VERB_[(]
9,KEYWORD_[mutation]
9,POS_SEQ_[VBP]
9,WORD_SEQ_[B-cell lymphoma]
9,WORD_SEQ_[leukemia]
8,NEAREST_VERB_[include]
8,KEYWORD_[give]
8,W_RIGHT_3_[[ _NUMBER ]]
8,W_RIGHT_1_[of]
8,W_RIGHT_1_[[]
8,W_RIGHT_2_[[ _NUMBER]
7,NEAREST_VERB_[fall]
7,W_RIGHT_1_[into]
7,W_NER_L_3_R_1_[ORGANIZATION O O]_[O]
7,W_NER_L_1_R_1_[NUMBER]_[O]
7,W_RIGHT_1_[in]
7,KEYWORD_[chemotherapy]
7,W_RIGHT_NER_2_[NUMBER O]
7,KEYWORD_[association]
7,W_LEFT_NER_2_[O NUMBER]
7,W_LEFT_1_[to]
7,W_LEFT_NER_3_[ORGANIZATION O O]
7,NEAREST_VERB_[have]
7,POS_SEQ_[JJ NN NN]
6,W_NER_L_1_R_2_[NUMBER]_[O O]
6,W_LEFT_NER_3_[NUMBER O O]
6,POS_SEQ_[NN NNS]
6,KEYWORD_[risk]
