weight,description
-3.34716,f_has_spouse_features-word_between=Rodham
-2.96812,f_has_spouse_features-word_between=Pollack
-2.83073,f_has_spouse_features-word_between=son
-2.72055,f_has_spouse_features-potential_last_name_match
-2.6454,f_has_spouse_features-word_between=Carl
-2.4257,f_has_spouse_features-word_between=noted
-2.41944,f_has_spouse_features-word_between=daughter
-2.38905,f_has_spouse_features-word_between=featuring
-2.23911,f_has_spouse_features-word_between=communications
-2.19842,f_has_spouse_features-word_between=Rachel
