weight,description
4.80916,f_has_spouse_features-word_between=D-N.Y.
4.04409,f_has_spouse_features-word_between=widower
3.01093,f_has_spouse_features-word_between=wife
2.90692,f_has_spouse_features-word_between=Sens.
2.84987,f_has_spouse_features-num_words_between=1
2.79416,f_has_spouse_features-word_between=may
2.67707,f_has_spouse_features-word_between=bus
2.66705,f_has_spouse_features-word_between=aka
2.62877,f_has_spouse_features-word_between=Sen.
2.58284,f_has_spouse_features-word_between=spouse
