candidate,count
Clinton-Obama,491
Obama-Clinton,491
Clinton-Clinton,314
Obama-Obama,254
Bill Clinton-Hillary Rodham Clinton,184
Hillary Rodham Clinton-Bill Clinton,184
Bill Clinton-Obama,125
Obama-Bill Clinton,125
McCain-Obama,113
Obama-McCain,113
Bill Clinton-Clinton,104
Clinton-Bill Clinton,104
McCain-McCain,104
Hillary Clinton-Obama,84
Obama-Hillary Clinton,84
McCain-Palin,79
Palin-McCain,79
Bill Clinton-Hillary Clinton,76
Hillary Clinton-Bill Clinton,76
Barack Obama-Hillary Rodham Clinton,69
Hillary Rodham Clinton-Barack Obama,69
Barack Obama-Michelle Obama,57
Michelle Obama-Barack Obama,57
Barack Obama-Bill Clinton,53
Barack Obama-Clinton,53
Bill Clinton-Barack Obama,53
Clinton-Barack Obama,53
Obama-Wright,52
Wright-Obama,52
Bush-Obama,51
Obama-Bush,51
Bhutto-Zardari,50
Zardari-Bhutto,50
Zardari-Zardari,50
Hillary Rodham Clinton-Obama,49
Obama-Hillary Rodham Clinton,49
Asif Ali Zardari-Benazir Bhutto,42
Benazir Bhutto-Asif Ali Zardari,42
Clinton-Hillary Clinton,41
Hillary Clinton-Clinton,41
Barack Obama-Obama,40
Obama-Barack Obama,40
Clintons-Obama,39
Obama-Clintons,39
Sharif-Zardari,39
Zardari-Sharif,39
Bush-Clinton,38
Cindy McCain-John McCain,38
Clinton-Bush,38
John McCain-Cindy McCain,38
Romney-Romney,38
Bush-McCain,35
McCain-Bush,35
Bush-Bush,34
Clinton-Clintons,32
Clintons-Clinton,32
Clinton-Hillary Rodham Clinton,31
Hillary Rodham Clinton-Clinton,31
John McCain-Obama,30
Musharraf-Zardari,30
Obama-John McCain,30
Palin-Palin,30
Zardari-Musharraf,30
Boyd-Clapton,29
Clapton-Boyd,29
Obama-Palin,29
Palin-Obama,29
Bill Clinton-Bush,28
Bush-Bill Clinton,28
McCain-Romney,28
Romney-McCain,28
Edwards-Obama,26
Katie Holmes-Tom Cruise,26
Kennedy-Obama,26
Obama-Edwards,26
Obama-Kennedy,26
Tom Cruise-Katie Holmes,26
Bhutto-Bhutto,24
Giuliani-Giuliani,24
Michelle Obama-Obama,24
Obama-Michelle Obama,24
Clapton-Harrison,23
Clinton-John Edwards,23
Harrison-Clapton,23
John Edwards-Clinton,23
Barack Obama-Hillary Clinton,22
Boyd-Harrison,22
Chaudhry-Musharraf,22
Clinton-McCain,22
Harrison-Boyd,22
Hillary Clinton-Barack Obama,22
Malia-Sasha,22
McCain-Clinton,22
Musharraf-Chaudhry,22
Musharraf-Sharif,22
Sasha-Malia,22
Sharif-Musharraf,22
Barack Obama-John Edwards,20
Chazz-Jimmy,20
Hillary-Obama,20
