num_candidates,num_features
2,3591
4,2952
6,1370
8,1394
10,586
12,777
14,371
16,502
18,347
20,340
22,200
24,308
26,168
28,186
30,146
32,164
34,100
36,160
38,85
40,127
42,94
44,93
46,68
48,104
50,66
52,60
54,82
56,53
58,44
60,61
62,46
64,51
66,43
68,38
70,43
72,55
74,40
76,25
78,21
80,43
82,31
84,45
86,30
88,34
90,37
92,24
94,19
96,38
98,30
100,30
102,22
104,17
106,18
108,25
110,16
112,16
114,20
116,16
118,18
120,33
122,17
124,18
126,22
128,22
130,14
132,17
134,15
136,11
138,11
140,12
142,13
144,11
146,8
148,7
150,13
152,14
154,15
156,9
158,9
160,16
162,11
164,12
166,9
168,19
170,9
172,13
174,8
176,20
178,11
180,9
182,12
184,6
186,6
188,9
190,8
192,15
194,8
196,5
198,16
200,11
202,15
204,10
206,5
208,6
210,10
212,2
214,4
216,19
218,2
220,7
222,6
224,9
226,3
228,2
230,3
232,4
234,4
236,5
238,8
240,13
242,6
244,7
246,8
248,4
250,9
252,9
254,5
256,8
258,8
260,11
262,10
264,2
266,4
268,2
270,2
272,4
274,4
276,2
278,3
280,2
282,6
284,4
286,6
288,6
290,5
292,5
294,3
296,3
298,2
300,6
302,4
304,3
306,4
308,3
310,3
314,5
316,4
318,3
320,4
322,4
324,3
326,2
328,1
330,1
332,4
334,3
336,10
338,3
342,4
344,3
346,3
348,2
350,3
352,3
354,3
358,4
360,2
362,2
364,3
366,1
368,3
370,3
372,1
376,5
378,2
380,4
382,8
384,3
386,3
388,3
390,3
394,3
396,5
398,1
402,1
404,1
406,1
408,1
410,3
412,1
414,4
416,4
418,4
420,3
426,1
428,5
430,2
434,2
436,1
438,3
440,7
444,2
448,1
452,1
456,6
458,3
466,3
472,2
474,1
476,4
478,2
480,7
484,1
486,4
494,1
496,2
498,3
502,1
504,5
506,2
508,3
510,5
512,1
514,3
516,1
520,2
524,1
528,1
530,5
534,1
536,1
540,2
542,3
544,1
546,1
550,1
552,2
554,3
556,3
558,3
560,1
564,1
566,2
574,2
576,1
582,1
586,1
588,1
594,2
598,1
602,1
604,1
610,1
612,4
616,1
618,3
624,2
626,2
630,2
636,1
640,1
642,1
644,1
646,1
648,1
656,1
658,1
660,2
666,4
668,1
674,3
678,1
682,2
684,2
686,1
696,2
704,3
706,2
708,1
710,1
712,2
714,1
716,2
720,1
724,1
726,1
732,1
734,2
740,1
742,1
744,1
746,2
748,1
750,3
754,1
756,1
762,2
764,3
766,1
768,1
770,1
772,1
780,1
782,1
784,1
786,3
790,2
800,1
812,1
816,5
818,3
824,1
830,2
834,1
836,1
838,2
846,1
852,3
858,1
860,4
864,2
868,1
876,1
884,2
886,1
890,1
892,2
894,1
900,1
902,1
906,1
908,2
912,2
916,1
922,2
924,2
926,1
928,2
930,2
932,1
934,1
936,2
938,1
940,2
942,1
946,1
950,3
958,2
960,4
962,1
964,1
966,1
968,2
974,1
986,2
994,2
998,1
1002,1
1008,1
1010,3
1014,1
1026,4
1032,2
1038,2
1040,1
1042,1
1044,1
1050,2
1056,1
1060,1
1062,1
1064,1
1070,1
1074,1
1076,1
1078,2
1084,1
1088,1
1098,1
1104,1
1110,1
1114,1
1122,1
1124,1
1134,1
1160,1
1164,1
1178,3
1180,1
1188,1
1198,1
1204,1
1214,1
1218,2
1222,1
1230,1
1236,1
1240,1
1264,1
1266,1
1268,1
1312,2
1316,1
1330,1
1332,1
1336,1
1342,2
1356,1
1370,1
1402,1
1438,1
1446,1
1464,1
1468,1
1472,1
1508,2
1530,1
1556,1
1580,1
1592,1
1600,1
1660,1
1674,1
1678,1
1694,1
1698,1
1700,1
1760,1
1770,1
1774,1
1778,1
1796,1
1830,1
1838,1
1880,1
1932,1
1938,2
1992,1
2004,1
2028,1
2032,1
2054,1
2076,1
2088,1
2112,1
2116,1
2120,1
2212,1
2224,1
2252,1
2264,1
2278,1
2282,1
2296,1
2324,1
2332,1
2488,1
2522,1
2638,1
2660,1
2690,1
2806,1
2852,2
2894,1
2924,1
3242,1
3284,1
3294,1
3312,1
3338,1
3456,1
3788,1
3888,1
4078,1
4096,1
4346,1
4512,1
4774,1
4838,1
4920,1
4954,1
4998,1
5022,1
5090,1
6282,1
6872,1
7844,1
8204,1
8978,1
9554,1
10824,1
11138,1
12218,1
13736,1
14622,1
16568,1
19532,1
30660,1
56922,1
