num_features,num_candidates
2,8004
3,2502
4,3968
5,3692
6,3946
7,3252
8,3450
9,3056
10,3072
11,2640
12,2840
13,2354
14,2548
15,2262
16,2102
17,1852
18,1862
19,1696
20,1622
21,1416
22,1454
23,1256
24,1150
25,1036
26,966
27,856
28,842
29,708
30,684
31,598
32,614
33,482
34,496
35,424
36,474
37,352
38,318
39,304
40,248
41,234
42,220
43,220
44,166
45,182
46,144
47,180
48,148
49,124
50,118
51,120
52,112
53,106
54,96
55,108
56,72
57,90
58,78
59,62
60,70
61,58
62,50
63,64
64,60
65,38
66,54
67,36
68,58
69,42
70,40
71,30
72,50
73,34
74,40
75,24
76,34
77,34
78,34
79,28
80,34
81,30
82,30
83,22
84,24
85,24
86,22
87,20
88,28
89,20
90,22
91,22
92,16
93,6
94,22
95,10
96,16
97,10
98,16
99,12
100,12
101,10
102,16
103,4
104,14
105,6
106,10
107,2
108,14
109,2
110,10
111,4
112,10
113,2
114,4
115,4
116,2
117,2
118,8
120,4
121,4
122,2
123,2
124,4
125,2
127,2
128,2
130,2
