num_candidates,feature
56922,"word_between=,"
30660,word_between=and
19532,word_between=the
16568,word_between=of
14622,word_between=-LRB-
13736,word_between=-RRB-
12218,word_between=a
11138,word_between='s
10824,word_between=to
9554,word_between=;
8978,word_between=in
8204,num_words_between=1
7844,word_between=by
6872,word_between=''
6282,word_between=``
5090,potential_last_name_match
5022,word_between=his
4998,word_between=for
4954,word_between=that
4920,word_between=on
4838,word_between=who
4774,word_between=with
4512,num_words_between=4
4346,word_between=as
4096,word_between=John
4078,word_between=former
3888,word_between=was
3788,word_between=director
3456,word_between=:
3338,word_between=Sen.
3312,word_between=said
3294,num_words_between=5
3284,word_between=is
3242,num_words_between=7
2924,word_between=from
2894,word_between=her
2852,num_words_between=3
2852,word_between=wife
2806,word_between=James
2690,num_words_between=10
2660,num_words_between=8
2638,word_between=he
2522,num_words_between=6
2488,num_words_between=9
2332,word_between=music
2324,word_between=Thomas
2296,num_words_between=2
2282,word_between=an
2278,word_between=Paul
2264,word_between=has
2252,word_between=at
2224,num_words_between=12
2212,num_words_between=13
2120,word_between=President
2116,word_between=Johnson
2112,word_between=Tom
2088,word_between=-
2076,word_between=Michael
2054,word_between=Obama
2032,word_between=Jay
2028,num_words_between=11
2004,word_between=Jack
1992,word_between=Harry
1938,num_words_between=16
1938,word_between=Bill
1932,word_between=David
1880,word_between=Jimmy
1838,word_between=production
1830,num_words_between=14
1796,word_between=Clinton
1778,word_between=Jim
1774,word_between=president
1770,num_words_between=15
1760,word_between=--
1700,word_between=Richard
1698,num_words_between=19
1694,word_between=had
1678,word_between=Gov.
1674,word_between=campaign
1660,word_between=Jones
1600,word_between=Mrs.
1592,num_words_between=17
1580,word_between=George
1556,word_between=Mary
1530,word_between=Elizabeth
1508,word_between=Henry
1508,word_between=Lee
1472,word_between=executive
1468,word_between=Robert
1464,word_between=Ed
1446,word_between=Green
1438,word_between=Republican
1402,word_between=about
1370,word_between=photography
1356,word_between=she
1342,num_words_between=20
1342,word_between=chief
1336,word_between=Jean
1332,num_words_between=18
1330,word_between=Scott
