description,count
Clinton-Obama,219
Obama-Clinton,218
McCain-Obama,65
Obama-McCain,65
Barack Obama-Hillary Rodham Clinton,63
Hillary Rodham Clinton-Barack Obama,63
Bill Clinton-Hillary Rodham Clinton,42
Hillary Rodham Clinton-Bill Clinton,42
Barack Obama-Bill Clinton,41
Bill Clinton-Barack Obama,41
Bill Clinton-Obama,38
Obama-Bill Clinton,36
Obama-Wright,35
Wright-Obama,35
Barack Obama-Clinton,32
Clinton-Barack Obama,32
Hillary Clinton-Obama,31
Hillary Rodham Clinton-Obama,31
Obama-Hillary Clinton,31
Obama-Hillary Rodham Clinton,31
McCain-Palin,30
Bush-Obama,29
Obama-Bush,29
Palin-McCain,29
Malia-Sasha,21
Sasha-Malia,21
Boyd-Clapton,20
Clapton-Boyd,20
Barack Obama-John Edwards,19
John Edwards-Barack Obama,19
John McCain-Obama,19
Obama-John McCain,19
Bhutto-Zardari,18
Bush-McCain,18
McCain-Bush,18
Zardari-Bhutto,18
Chazz-Jimmy,17
Edwards-Obama,17
Jimmy-Chazz,17
Obama-Edwards,17
Bush-Clinton,16
Clinton-Bush,16
Obama-Kennedy,16
Barack Obama-Michelle Obama,15
Clinton-John Edwards,15
John Edwards-Clinton,15
Kennedy-Obama,15
Sharif-Zardari,15
Zardari-Sharif,15
Bill Clinton-Bush,14
Bush-Bill Clinton,14
Musharraf-Zardari,14
Zardari-Musharraf,14
Clapton-Harrison,13
Harrison-Clapton,13
Michelle Obama-Barack Obama,13
Asif Ali Zardari-Benazir Bhutto,12
Barack Obama-Hillary Clinton,12
Barack Obama-John McCain,12
Bush-John McCain,12
George-Martha,12
Hillary Clinton-Barack Obama,12
John McCain-Barack Obama,12
John McCain-Bush,12
John McCain-Sarah Palin,12
Martha-George,12
McCain-Romney,12
Romney-McCain,12
Sarah Palin-John McCain,12
Benazir Bhutto-Asif Ali Zardari,11
John Edwards-Obama,11
Michelle-Obama,11
Obama-Joe Biden,11
Obama-John Edwards,11
Obama-Michelle,11
Obama-Palin,11
Palin-Obama,11
Boyd-Harrison,10
Harrison-Boyd,10
Hillary-Obama,10
Joe Biden-Obama,10
Margera-Rothstein,10
Obama-Hillary,10
Rothstein-Margera,10
Ann-Romney,9
Barack Obama-McCain,9
Bill Richardson-Obama,9
Clintons-Obama,9
Leslie Mann-Paul Rudd,9
McCain-Barack Obama,9
Obama-Bill Richardson,9
Obama-Clintons,9
Paul Rudd-Leslie Mann,9
Romney-Ann,9
Tom Cruise-Katie Holmes,9
Alison-Ben,8
Barack-Obama,8
Ben-Alison,8
CLINTON-Hillary Rodham Clinton,8
Cecilia-Sarkozy,8
