num_candidates,num_features
1,4550866
2,5342330
3,1086786
4,3249085
5,489609
6,1330906
7,286809
8,1346904
9,212599
10,537281
11,136999
12,602054
13,107510
14,307922
15,89575
16,345736
17,68513
18,188442
19,53567
20,168718
21,51533
22,120063
23,39677
24,137207
25,35371
26,88600
27,32692
28,88826
29,27284
30,69548
31,23596
32,71247
33,23484
34,51493
35,20763
36,53233
37,17732
38,39922
39,17031
40,40111
41,14915
42,36581
43,13364
44,31537
45,13745
46,27233
47,11165
48,29065
49,10701
50,24042
51,10700
52,22631
53,9180
54,20571
55,8842
56,20395
57,8616
58,17357
59,10353
60,17990
61,7138
62,15121
63,7172
64,15224
65,7521
66,14187
67,6357
68,13068
69,6414
70,12702
71,5836
72,12461
73,5387
74,10425
75,5182
76,10160
77,4865
78,9645
79,5847
80,9671
81,4645
82,8272
83,4208
84,8780
85,4218
86,7518
87,4085
88,7593
89,3748
90,7180
91,3841
92,6751
93,3693
94,6133
95,3508
96,6523
97,3299
98,5964
99,3261
100,5869
101,2889
102,5409
103,3014
104,5298
105,3211
106,4894
107,2708
108,5397
109,2552
110,4607
111,2549
112,4825
113,2501
114,4580
115,2507
116,4339
117,2519
118,4615
119,2436
120,4362
121,2168
122,3541
123,2222
124,3608
125,2027
126,3535
127,2136
128,3749
129,2117
130,3348
131,1777
132,3298
133,1856
134,2972
135,1926
136,3154
137,1601
138,3495
139,1702
140,2863
141,1604
142,2748
143,1590
144,2711
145,1546
146,2471
147,1565
148,2514
149,1521
150,2519
151,1470
152,2343
153,1505
154,2315
155,1333
156,2297
157,1353
158,2113
159,1290
160,2290
161,1266
162,2001
163,1257
164,2090
165,1273
166,2086
167,1306
168,1946
169,1187
170,1925
171,1194
172,1723
173,1127
174,1826
175,1223
176,1756
177,1191
178,1603
179,1138
180,2079
181,1084
182,1816
183,1049
184,1740
185,980
186,1482
187,1007
188,1575
189,1043
190,1493
191,929
192,1647
193,959
194,1400
195,947
196,1374
197,959
198,1389
199,864
200,1583
201,869
202,1323
203,876
204,1323
205,857
206,1185
207,819
208,1281
209,813
210,1336
211,847
212,1133
213,764
214,1175
215,774
216,1244
217,778
218,1108
219,726
220,1092
221,727
222,1073
223,699
224,1048
225,718
226,1001
227,735
228,1131
229,696
230,1057
231,703
232,1008
233,652
234,1015
235,710
236,989
237,670
238,968
239,660
240,988
241,622
242,1038
243,654
244,889
245,704
246,853
247,617
248,857
249,612
250,883
251,629
252,940
253,616
254,951
255,628
256,818
257,590
258,859
259,539
260,811
261,517
262,734
263,495
264,847
265,516
266,732
267,469
268,746
269,493
270,811
271,480
272,747
273,536
274,680
275,465
276,747
277,444
278,650
279,482
280,761
281,434
282,691
283,475
284,679
285,499
286,613
287,459
288,653
289,381
290,604
291,418
292,1205
293,453
294,548
295,445
296,582
297,474
298,591
299,453
300,596
301,415
302,612
303,413
304,613
305,408
306,639
307,452
308,635
309,407
310,579
311,428
312,549
313,372
314,616
315,422
316,548
317,366
318,598
319,435
320,554
321,373
322,476
323,398
324,541
325,342
326,476
327,330
328,495
329,360
330,515
331,359
332,503
333,492
334,515
335,348
336,509
337,365
338,625
339,383
340,465
341,305
342,508
343,348
344,478
345,379
346,447
347,324
348,502
349,335
350,437
351,274
352,456
353,324
354,395
355,308
356,396
357,335
358,430
359,270
360,386
361,261
362,428
363,288
364,410
365,293
366,351
367,254
368,355
369,283
370,358
371,266
372,394
373,264
374,358
375,248
376,386
377,276
378,367
379,257
380,368
381,268
382,353
383,224
384,409
385,260
386,326
387,275
388,330
389,281
390,338
391,262
392,314
393,221
394,369
395,234
396,367
397,214
398,271
399,251
400,312
401,256
402,366
403,214
404,334
405,219
406,324
407,245
408,364
409,211
410,320
411,233
412,289
413,255
414,297
415,208
416,308
417,233
418,282
419,232
420,294
421,260
422,314
423,233
424,296
425,194
426,291
427,202
428,314
429,204
430,265
431,231
432,308
433,299
434,297
435,191
436,271
437,225
438,296
439,179
440,290
441,218
442,245
443,244
444,260
445,185
446,298
447,223
448,262
449,205
450,252
451,195
452,289
453,208
454,233
455,188
456,288
457,189
458,251
459,183
460,241
461,187
462,250
463,183
464,248
465,226
466,234
467,204
468,274
469,162
470,220
471,162
472,239
473,200
474,294
475,169
476,239
477,181
478,208
479,203
480,194
481,174
482,199
483,169
484,241
485,154
486,288
487,196
488,233
489,159
490,226
491,167
492,205
493,180
494,182
495,183
496,219
497,153
498,200
499,148
500,207
501,162
502,243
503,180
504,207
505,168
506,189
507,184
508,212
509,162
510,210
511,150
512,206
513,140
514,183
515,132
516,198
517,128
518,166
519,146
520,206
521,148
522,201
523,146
524,187
525,132
526,192
527,161
528,210
529,129
530,186
531,138
532,202
533,131
534,175
535,150
536,223
537,169
538,185
539,149
540,238
541,132
542,177
543,125
544,172
545,111
546,167
547,119
548,181
549,142
550,199
551,126
552,168
553,138
554,142
555,115
556,156
557,141
558,142
559,122
560,176
561,120
562,158
563,127
564,169
565,123
566,132
567,155
568,153
569,116
570,191
571,109
572,146
573,126
574,167
575,117
576,133
577,116
578,138
579,120
580,147
581,89
582,148
583,129
584,156
585,118
586,145
587,101
588,130
589,110
590,138
591,121
592,133
593,94
594,144
595,125
596,126
597,96
598,231
599,123
600,149
601,112
602,120
603,118
604,131
605,115
606,160
607,100
608,157
609,111
610,151
611,110
612,122
613,94
614,114
615,127
616,149
617,91
618,105
619,104
620,137
621,120
622,166
623,119
624,147
625,94
626,132
627,106
628,111
629,103
630,146
631,73
632,143
633,102
634,144
635,108
636,135
637,97
638,147
639,99
640,136
641,109
642,127
643,82
644,133
645,88
646,129
647,87
648,146
649,120
650,114
651,96
652,107
653,99
654,115
655,97
656,151
657,96
658,129
659,83
660,122
661,88
662,96
663,106
664,98
665,92
666,139
667,88
668,126
669,88
670,126
671,89
672,118
673,99
674,115
675,77
676,102
677,84
678,86
679,105
680,112
681,88
682,113
683,92
684,110
685,102
686,107
687,69
688,112
689,64
690,118
691,66
692,104
693,72
694,81
695,67
696,104
697,57
698,107
699,73
700,103
701,73
702,106
703,87
704,115
705,87
706,89
707,71
708,90
709,72
710,103
711,76
