num_features,num_candidates
0,4286034
1,4999415
2,7065960
3,7728076
4,9836925
5,8904313
6,7705551
7,7226073
8,8323215
9,6761387
10,4544993
11,2954044
12,1919491
13,1246025
14,754529
15,504299
16,333952
17,245561
18,170813
19,118936
20,79054
21,51312
22,30921
23,19331
24,12602
25,9011
26,6048
27,5050
28,3881
29,2297
30,2445
31,2028
32,1356
33,913
34,748
35,452
36,404
37,278
38,229
39,442
40,364
41,271
42,81
43,19
44,42
45,144
46,17
47,12
48,15
49,3
50,37
51,11
52,53
53,25
54,6
55,65
56,48
57,81
58,11
59,31
60,8
61,79
62,86
63,334
64,46
65,122
66,50
67,52
68,124
69,8
70,50
72,10
73,43
74,70
75,1
76,102
77,9
78,6
79,71
81,24
82,10
83,4
84,43
85,45
86,20
87,19
88,31
89,33
90,9
91,8
92,75
93,24
94,3
95,6
96,2
97,24
98,4
99,31
100,20
101,123
102,43
103,177
104,9
105,45
106,25
107,13
108,50
109,59
110,103
111,279
112,103
113,854
114,152
115,193
116,977
117,1013
118,67
119,181
120,166
121,333
122,267
123,434
124,206
125,206
126,217
127,155
128,148
129,204
130,218
131,346
132,364
133,318
134,517
135,431
136,395
137,504
138,726
139,747
140,3570
141,9868
142,3912
143,475
144,368
145,403
146,537
147,481
148,655
149,427
150,379
151,454
152,487
153,496
154,600
155,403
156,491
157,497
158,574
159,866
160,789
161,1618
162,1536
163,556
164,924
165,302
166,893
167,445
168,320
169,396
170,433
171,400
172,961
173,347
174,825
175,270
176,347
177,552
178,337
179,263
180,235
181,318
182,388
183,473
184,800
185,397
186,295
187,309
188,254
189,251
190,318
191,521
192,241
193,301
194,328
195,265
196,253
197,284
198,230
199,243
200,167
201,230
202,214
203,219
204,183
205,235
206,283
207,256
208,221
209,166
210,187
211,496
212,475
213,562
214,441
215,198
216,278
217,163
218,177
219,258
220,164
221,159
222,6864
223,330
224,118
225,147
226,163
227,271
228,347
229,152
230,468
231,239
232,261
233,485
234,431
235,474
236,287
237,293
238,171
239,172
240,127
241,180
242,470
243,278
244,116
245,147
246,182
247,181
248,192
249,137
250,119
251,105
252,196
253,263
254,357
255,147
256,109
257,245
258,213
259,224
260,171
261,113
262,131
263,169
264,70
265,135
266,64
267,88
268,134
269,175
270,63
271,150
272,172
273,178
274,135
275,296
276,177
277,867
278,1019
279,1021
280,1808
281,1271
282,894
283,669
284,594
285,372
286,128
287,689
288,389
289,410
290,322
291,72
292,324
293,234
294,50
295,127
296,135
297,100
298,77
299,44
300,112
301,81
302,76
303,103
304,85
305,37
306,104
307,64
308,119
309,165
310,73
311,50
312,80
313,20
314,47
315,50
316,78
317,66
318,46
319,23
320,67
321,43
322,40
323,41
324,56
325,74
326,77
327,39
328,1192
329,50
330,38
331,36
332,50
333,128
334,144
335,56
336,333
337,73
338,142
339,34
340,379
341,54
342,47
343,28
344,39
345,60
346,19
347,32
348,43
349,24
350,57
351,34
352,59
353,65
354,56
355,131
356,85
357,368
358,121
359,123
360,153
361,94
362,229
363,80
364,65
365,28
366,84
367,28
368,79
369,40
370,22
371,41
372,45
373,54
374,73
375,66
376,49
377,120
378,23
379,26
380,226
381,97
382,18
383,13
384,43
385,127
386,26
387,21
388,34
389,44
390,14
391,33
392,14
393,11
394,13
395,12
396,16
397,29
398,35
399,25
400,2
401,20
402,16
403,20
404,5
405,5
406,13
407,5
408,7
409,1
410,27
411,8
412,18
413,3
414,4
415,4
416,15
417,10
418,6
419,16
420,3
421,11
422,7
423,21
424,12
425,11
426,14
427,22
428,9
429,26
430,29
431,24
432,15
433,6
434,9
435,15
436,15
437,11
438,13
439,5
440,3
442,7
443,8
444,52
445,44
446,44
447,50
448,13
449,4
450,7
451,20
452,28
453,19
454,42
455,21
456,33
457,59
458,24
459,28
460,25
461,26
462,13
463,14
464,31
465,36
466,27
467,32
468,44
469,24
470,27
471,8
472,31
473,12
474,11
475,6
476,8
477,12
478,14
479,9
480,10
481,13
482,3
483,34
484,39
485,30
486,25
487,6
488,12
489,12
490,8
491,15
492,10
493,21
494,20
495,17
496,16
497,5
498,19
499,25
500,15
501,10
502,13
503,6
504,6
507,11
510,12
515,3
517,2
519,20
535,4
538,9
539,11
540,2
541,5
542,10
543,5
544,8
546,2
547,1
548,9
549,21
550,53
551,12
552,50
553,51
554,6
555,6
556,3
561,2
568,1
570,5
577,3
578,5
579,9
580,7
581,48
582,31
583,18
584,2
586,3
587,2
591,47
592,46
593,46
597,2
599,1
600,4
601,8
602,9
603,12
604,4
605,4
609,1
610,4
612,3
613,4
614,3
615,2
616,4
640,2
641,2
658,10
659,5
660,5
762,2
763,1
764,4
765,12
766,1
799,4
800,5
801,7
803,1
914,6
915,4
973,2
974,5
975,11
976,2
977,1
,950611
