num_candidates,feature
4721,PREV_1_GRAM_POS_[CD]
3183,ONLY_NUMBER
1894,NEXT_1_GRAM_POS_[JJ]
1837,PREV_1_GRAM_POS_[NN]
1699,NEXT_1_GRAM_POS_[NN]
1574,NEXT_1_GRAM_POS_[CD]
1373,PREV_1_GRAM_POS_[NNP]
1220,PREV_1_GRAM_[100]
1096,LENGTH_2
1059,NEXT_1_GRAM_[real]
964,PREV_1_GRAM_POS_[JJ]
817,NEXT_1_GRAM_POS_[NNP]
649,NEXT_1_GRAM_POS_[IN]
637,PREV_1_GRAM_POS_[NNS]
609,PREV_1_GRAM_POS_[IN]
565,PREV_1_GRAM_POS_[PRP]
502,WORD0_CONTAINS_COMMON_MINUTE_NUMBER
485,WORD4_CONTAINS_COMMON_MINUTE_NUMBER
462,PREV_2_GRAM_POS_[NN_CD]
462,PREV_1_GRAM_[i]
461,NEXT_1_GRAM_POS_[NNS]
429,WORD3_CONTAINS_HYPHEN
418,PREV_1_GRAM_POS_[$]
417,WORD0_CONTAINS_DOLLAR
417,PREV_1_GRAM_[$]
415,PREV_2_GRAM_POS_[CD_CD]
414,"NEXT_1_GRAM_[,]"
414,"NEXT_1_GRAM_POS_[,]"
401,WORD3_SIGNED
374,WORD1_CONTAINS_HYPHEN
360,PREV_2_GRAM_POS_[SYM_CD]
353,PREV_1_GRAM_POS_[DT]
336,WORD1_SIGNED
326,NEXT_1_GRAM_[of]
325,NEXT_1_GRAM_[old]
325,NEXT_2_GRAM_POS_[CD_CD]
322,WORD2_CONTAINS_HYPHEN
322,NEXT_1_GRAM_[independent]
304,NEXT_2_GRAM_POS_[JJ_NN]
302,WORD0_CONTAINS_HOUR
300,WORD3_CONTAINS_COMMON_MINUTE_NUMBER
298,NEXT_2_GRAM_POS_[NN_NN]
292,PREV_1_GRAM_POS_[VB]
292,NEXT_2_GRAM_POS_[NNP_NNP]
286,NEXT_2_GRAM_POS_[JJ_NNS]
282,PREV_1_GRAM_[5]
281,PREV_2_GRAM_POS_[NN_NN]
268,PREV_2_GRAM_POS_[:_CD]
264,WORD2_SIGNED
247,NEXT_1_GRAM_POS_[:]
242,WORD3_CONTAINS_DOLLAR
236,WORD0_CONTAINS_BAD_WORD
231,NEXT_2_GRAM_POS_[IN_NN]
230,WORD1_CONTAINS_COMMON_MINUTE_NUMBER
227,PREV_2_GRAM_POS_[CD_NN]
225,NEXT_1_GRAM_POS_[PRP]
219,WORD2_CONTAINS_COMMON_MINUTE_NUMBER
217,NEXT_2_GRAM_POS_[NNS_IN]
216,NEXT_1_GRAM_POS_[CC]
212,NEXT_2_GRAM_POS_[CD_SYM]
211,PREV_3_GRAM_POS_[CD_SYM_CD]
209,PREV_2_GRAM_POS_[NNP_NNP]
209,NEXT_1_GRAM_[i]
206,NEXT_2_GRAM_POS_[JJ_CC]
200,PREV_1_GRAM_POS_[RB]
199,PREV_3_GRAM_POS_[CD_CD_CD]
198,NEXT_1_GRAM_POS_[DT]
196,WORD3_CONTAINS_BAD_WORD
195,PREV_1_GRAM_POS_[PRP$]
187,PREV_2_GRAM_POS_[NN_JJ]
185,PREV_1_GRAM_[my]
180,NEXT_2_GRAM_[real_pic]
180,WORD1_CONTAINS_HOUR
179,NEXT_2_GRAM_POS_[CD_NN]
179,PREV_3_GRAM_POS_[CD_NN_CD]
177,PREV_2_GRAM_POS_[$_CD]
171,NEXT_2_GRAM_POS_[NN_-RRB-]
169,NEXT_2_GRAM_POS_[NNP_CC]
163,WORD2_CONTAINS_DOLLAR
161,PREV_2_GRAM_POS_[-LRB-_CD]
158,PREV_2_GRAM_POS_[VB_IN]
156,PREV_2_GRAM_POS_[JJ_NN]
154,NEXT_1_GRAM_[k]
153,NEXT_2_GRAM_[k_-rrb-]
152,PREV_3_GRAM_POS_[CD_NN_JJ]
150,WORD2_CONTAINS_BAD_WORD
150,NEXT_1_GRAM_[year]
147,"NEXT_2_GRAM_POS_[JJ_,]"
145,PREV_1_GRAM_[at]
144,NEXT_1_GRAM_POS_[$]
143,PREV_2_GRAM_POS_[''_CD]
143,WORD4_CONTAINS_HOUR
142,NEXT_1_GRAM_[$]
140,PREV_1_GRAM_[no]
140,NEXT_2_GRAM_POS_[CD_:]
140,NEXT_2_GRAM_POS_[NN_IN]
139,NEXT_1_GRAM_[and]
139,PREV_1_GRAM_[a]
139,PREV_3_GRAM_POS_[CD_''_CD]
138,PREV_3_GRAM_POS_[CD_:_CD]
