doc_id	sent_id	words	positions
gb-2002-3-12-reviews1035.pdf	1	{Minireview,RNAi,hushes,heterochromatin,Julie,M,Bailis,and,Susan,L,Forsburg,http://genomebiology.com/2002/3/,I,2/reviews,/,I,035,.}	{NULL}
gb-2002-3-12-reviews1035.pdf	2	{I}	{NULL}
gb-2002-3-12-reviews1035.pdf	3	{Address,:,Molecular,and,Cellular,Biology,Laboratory,",",The,Salk,Institute,",",10010,North,Torrey,Pines,Road,",",La,J,olla,",",CA,92037,",",USA,.}	{NULL}
gb-2002-3-12-reviews1035.pdf	4	{Correspondence,:,Susan,L,Forsburg,.}	{NULL}
gb-2002-3-12-reviews1035.pdf	5	{E-mail,:,forsburg@salk.edu}	{NULL}
gb-2002-3-12-reviews1035.pdf	6	{Published,:,28,November,2002}	{NULL}
gb-2002-3-12-reviews1035.pdf	7	{Genome,Biology,2002,",",3,(,|,2,),:,reviews,I,035,.}	{NULL}
gb-2002-3-12-reviews1035.pdf	8	{l,—,l,035.4,The,electronic,version,of,this,article,is,the,complete,one,and,can,be,found,online,at,http://genomebiology.com/2002/3/I2/reviews/I035,©,BioMed,Central,Ltd,(,Print,ISSN,I465-6906,;,Online,ISSN,I465-69,|,4,)}	{NULL}
gb-2002-3-12-reviews1035.pdf	9	{Abstract}	{NULL}
gb-2002-3-12-reviews1035.pdf	10	{Repeated,DNA,elements,and,region-speciﬁc,protein,modiﬁcations,combine,within,chromosomes,to,form,a,transcriptionally,silent,chromatin,structure,called,heterochromatin,.}	{NULL}
gb-2002-3-12-reviews1035.pdf	11	{Recent,work,in,the,ﬁssion,yeast,Schizosaccharomyces,pombe,reveals,that,RNA,is,also,an,integral,component,of,silent,heterochromatin,",",providing,a,new,perspective,on,how,heterochromatin,is,organized,and,maintained,in,eukaryotic,cells,.}	{NULL}
gb-2002-3-12-reviews1035.pdf	12	{The,heterochromatin,of,eukaryotic,genomes,is,concentrated,at,and,around,centromeres,and,plays,a,central,role,in,the,maintenance,of,genome,integrity,through,regulation,of,both,gene,expression,and,chromosome,segregation,[,"1,2",],.}	{NULL}
gb-2002-3-12-reviews1035.pdf	13	{Centric,heterochromatin,is,required,for,cohesion,between,sister,centromeres,",",which,ensures,proper,chromosome,segregation,at,mitosis,[,"3,4",],.}	{NULL}
gb-2002-3-12-reviews1035.pdf	14	{Additional,heterochromatin,at,telomeres,protects,the,DNA,at,chromosome,ends,from,inappropriate,fusions,and,recombination,.}	{NULL}
gb-2002-3-12-reviews1035.pdf	15	{If,genes,are,inserted,into,heterochromatin,they,are,transcriptionally,silenced,;,this,silencing,is,maintained,epigenetically,(,independent,of,DNA,sequence,),and,can,be,propagated,through,multiple,cell,divisions,.}	{NULL}
